virus_strain,serum_strain,titer
DENV2/TONGA/DELTA30/1974,DENV3/CAMBODIA/AC23/2011,3.80735492206
DENV2/TONGA/DELTA30/1974,DENV3/INDONESIA/SLEMANDELTA30/1978,4.4262647547
DENV2/TONGA/DELTA30/1974,DENV3/MYANMAR/80931/2008,3.90689059561
DENV2/TONGA/DELTA30/1974,DENV3/PUERTO_RICO/429965/2006,3.45943161864
DENV2/TONGA/DELTA30/1974,DENV3/VIETNAM/BIDV1329/2006,3.45943161864
DENV2/TONGA/DELTA30/1974,DENV3/VIETNAM/BIDV1817/2007,3.32192809489
DENV2/TONGA/DELTA30/1974,DENV4/CAMBODIA/NA/2010,3.90689059561
DENV2/TONGA/DELTA30/1974,DENV4/DOMINICA/814669DELTA30/1981,4.00998408857
DENV2/VIETNAM/AC20/2003,DENV1/NAURU/WESTERNPACIFICDELTA30/1974,3.82200169802
DENV2/VIETNAM/AC20/2003,DENV1/PERU/IQT6152/2000,4.0
DENV2/VIETNAM/AC20/2003,DENV1/PUERTO_RICO/BIDV852/2006,4.16992500144
DENV2/VIETNAM/AC20/2003,DENV1/VIETNAM/BIDV1937/2008,3.80735492206
DENV2/VIETNAM/AC20/2003,DENV2/CAMBODIA/D2T0601085/2009,3.70043971814
DENV2/VIETNAM/AC20/2003,DENV2/MALAYSIA/DKD811/2008,5.45943161864
DENV2/VIETNAM/AC20/2003,DENV2/NICARAGUA/BIDV533/2005,4.52356195606
DENV2/VIETNAM/AC20/2003,DENV2/NICARAGUA/BIDV571/2006,6.90689059561
DENV2/VIETNAM/AC20/2003,DENV2/PERU/IQT2913/1996,4.0
DENV2/VIETNAM/AC20/2003,DENV2/TONGA/DELTA30/1974,5.54899700343
DENV2/VIETNAM/AC20/2003,DENV2/VIETNAM/AC20/2003,5.04439411936
DENV2/VIETNAM/AC20/2003,DENV2/VIETNAM/AC21/2003,4.58496250072
